Datetime,Date,Time,Open,High,Low,Close,Vol
2015-12-21 09:55:00,20151221,955,10810,10810,10765,10775,35941
2015-12-21 10:00:00,20151221,1000,10770,10775,10715,10715,33183
2015-12-21 10:05:00,20151221,1005,10715,10715,10680,10685,11908
2015-12-21 10:10:00,20151221,1010,10680,10700,10680,10700,7977
2015-12-21 10:15:00,20151221,1015,10690,10700,10690,10695,8773
2015-12-21 10:20:00,20151221,1020,10695,10745,10695,10740,34476
2015-12-21 10:25:00,20151221,1025,10740,10745,10730,10730,19099
2015-12-21 10:30:00,20151221,1030,10730,10740,10730,10740,44507
2015-12-21 10:35:00,20151221,1035,10740,10750,10735,10745,9342
2015-12-21 10:40:00,20151221,1040,10750,10755,10745,10750,47945
2015-12-21 10:45:00,20151221,1045,10750,10760,10750,10755,11598
2015-12-21 10:50:00,20151221,1050,10755,10770,10755,10770,5267
2015-12-21 10:55:00,20151221,1055,10770,10770,10745,10745,4909
2015-12-21 11:00:00,20151221,1100,10745,10760,10745,10755,15362
2015-12-21 11:05:00,20151221,1105,10755,10760,10755,10755,16320
2015-12-21 11:10:00,20151221,1110,10755,10755,10745,10750,49513
2015-12-21 11:15:00,20151221,1115,10750,10755,10740,10740,26092
2015-12-21 11:20:00,20151221,1120,10740,10740,10735,10735,26976
2015-12-21 11:25:00,20151221,1125,10735,10735,10730,10735,4062
2015-12-21 11:30:00,20151221,1130,10735,10735,10735,10735,1107
2015-12-21 11:35:00,20151221,1135,10735,10735,10730,10730,3089
2015-12-21 11:40:00,20151221,1140,10735,10735,10735,10735,202
2015-12-21 11:45:00,20151221,1145,10735,10735,10735,10735,17
2015-12-21 11:50:00,20151221,1150,10730,10735,10730,10735,7421
2015-12-21 11:55:00,20151221,1155,10735,10735,10725,10730,33179
2015-12-21 12:00:00,20151221,1200,10730,10730,10715,10715,22281
2015-12-21 12:05:00,20151221,1205,10720,10725,10720,10725,39384
2015-12-21 12:10:00,20151221,1210,10725,10730,10720,10720,32303
2015-12-21 12:15:00,20151221,1215,10720,10720,10710,10710,6866
2015-12-21 12:20:00,20151221,1220,10710,10720,10710,10720,1185
2015-12-21 12:25:00,20151221,1225,10720,10720,10720,10720,866
2015-12-21 12:30:00,20151221,1225,10720,10720,10720,10720,866
2015-12-21 12:35:00,20151221,1235,10735,10735,10720,10725,11447
